fna,gna,nam,fun,fdc,sag,latitud,longitud
Estación Camet,Estación,Camet,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.88984635799990031),-57.60516063
Estación Cobo,Estación,Cobo,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.80130007899990119),-57.630351
Estación Yraizoz,Estación,Yraizoz,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.13878192300000336),-57.98543761
Estación Mar del Plata,Estación,Mar del Plata,6,IGN/Trenes Argentinos,IGN,-37.98790426599990155),-57.56564295
Estación Comandante Nicanor Otamendi,Estación,Comandante Nicanor Otamendi,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.11499516800000009),-57.84038765
Estación Chapadmalal,Estación,Chapadmalal,2,IGN/Ministerio de Transporte de la Nación,IGN,-38.04161176299989933),-57.71739643
Parada Policlínico,Parada,Policlínico,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.92534708899999885),-57.92122557
Parada Diagonal 73,Parada,Diagonal 73,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.92026839499990132),-57.91905693
Parada Arquitectura,Parada,Arquitectura,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.90474613500000345),-57.9427749
Estación Florencio Varela,Estación,Florencio Varela,6,IGN/Trenes Argentinos,IGN,-34.81105864300000263),-58.273951
Estación Bosques,Estación,Bosques,6,IGN/Trenes Argentinos,IGN,-34.81926144300000203),-58.23046066
Estación Quilmes,Estación,Quilmes,6,IGN/Trenes Argentinos,IGN,-34.72460688999999689),-58.26058472
Estación Bernal,Estación,Bernal,6,IGN/Trenes Argentinos,IGN,-34.7092444709999981),-58.28039531
Estación Samborombón,Estación,Samborombón,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.21960428399999898),-58.28136162
Estación Gobernador Obligado,Estación,Gobernador Obligado,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.16320511999990117),-58.19865649
Estación Ángel Etcheverry,Estación,Ángel Etcheverry,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.02708249999989931),-58.07099425
Estación Ignacio Correas,Estación,Ignacio Correas,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.03284478699990245),-57.84255126
Estación Santa Sofía,Estación,Santa Sofía,6,IGN/Trenes Argentinos,IGN,-34.82506132399989696),-58.21346768
Estación Puerto La Plata,Estación,Puerto La Plata,6,IGN/Ministerio de Transporte de la Nación,IGN,-34.8655317050000022),-57.89782212
Estación Ringuelet,Estación,Ringuelet,6,IGN/Trenes Argentinos,IGN,-34.88146296499999721),-57.99595091
Estación Coronel Brandsen,Estación,Coronel Brandsen,6,IGN/Trenes Argentinos,IGN,-35.16772299000000146),-58.23194424
Estación Gómez,Estación,Gómez,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.06751938299989746),-58.16660355
Estación Olidén,Estación,Olidén,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.18453780999990244),-57.94870646
Estación Ranelagh,Estación,Ranelagh,6,IGN/Trenes Argentinos,IGN,-34.7893197829998968),-58.20353322
Estación Sourigues,Estación,Sourigues,6,IGN/Trenes Argentinos,IGN,-34.80719412599999885),-58.21319422
Estación Pereyra,Estación,Pereyra,6,IGN/Trenes Argentinos,IGN,-34.83662448799999822),-58.09480018
Estación Villa Elisa,Estación,Villa Elisa,6,IGN/Trenes Argentinos,IGN,-34.8497499339999024),-58.07510746
Estación City Bell,Estación,City Bell,6,IGN/Trenes Argentinos,IGN,-34.86539512699989984),-58.04258714
